national_number,gen,pokemon_name,primary_type,secondary_type,classification,height_m,weight_kg,hp,attack,defense,sp_attack,sp_defense,speed,abilities_0,abilities_1,is_sublegendary,is_legendary,is_mythical,evochain_1,evochain_2,evochain_3,evochain_4,mega_evolution,description,image
226,II,Mantine,water,flying,Kite Pokémon,2.1,220,85,40,70,80,140,70,Swift Swim,Water Absorb,0,0,0,Mantyke,Mantine,,,,"If it builds up enough speed swimming, it can jump out above the waves and glide for over 300 feet.",
227,II,Skarmory,steel,flying,Armor Bird Pokémon,1.7,50.5,65,80,140,40,70,70,Keen Eye,Sturdy,0,0,0,Skarmory,,,,,The pointed feathers of these Pokémon are sharper than swords. Skarmory and Corviknight fight viciously over territory.,
228,II,Houndour,dark,fire,Dark Pokémon,0.6,10.8,45,60,30,80,50,65,Early Bird,Flash Fire,0,0,0,Houndour,Houndoom,,,,"It cooperates with others skillfully. When it becomes your partner, it’s very loyal to you as its Trainer and will obey your orders.",
229,II,Houndoom,dark,fire,Dark Pokémon,1.4,35,75,90,50,110,80,95,Early Bird,Flash Fire,0,0,0,Houndour,Houndoom,,,Mega Houndoom,They spew flames mixed with poison to finish off their opponents. They divvy up their prey evenly among the members of their pack.,
230,II,Kingdra,water,dragon,Dragon Pokémon,1.8,152,75,95,95,95,95,85,Swift Swim,Sniper,0,0,0,Horsea,Seadra,Kingdra,,,"With the arrival of a storm at sea, this Pokémon will show itself on the surface. When a Kingdra and a Dragonite meet, a fierce battle ensues.",
231,II,Phanpy,ground,,Long Nose Pokémon,0.5,33.5,90,60,60,40,40,40,Pickup,,0,0,0,Phanpy,Donphan,,,,"For its nest, Phanpy digs a vertical pit in the ground at the edge of a river. It marks the area around its nest with its trunk to let the others know that the area has been claimed.",
232,II,Donphan,ground,,Armor Pokémon,1.1,120,90,120,120,60,60,50,Sturdy,,0,0,0,Phanpy,Donphan,,,,"Donphan’s favorite attack is curling its body into a ball, then charging at its foe while rolling at high speed. Once it starts rolling, this Pokémon can’t stop very easily.",
233,II,Porygon2,normal,,Virtual Pokémon,0.6,32.5,85,80,90,105,95,60,Trace,Download,0,0,0,Porygon,Porygon2,Porygon-Z,,,This is a Porygon that was updated with special data. Porygon2 develops itself by learning about many different subjects all on its own.,
234,II,Stantler,normal,,Big Horn Pokémon,1.4,71.2,73,95,62,85,65,85,Intimidate,Frisk,0,0,0,Stantler,,,,,"Stantler’s magnificent antlers were traded at high prices as works of art. As a result, this Pokémon was hunted close to extinction by those who were after the priceless antlers.",
235,II,Smeargle,normal,,Painter Pokémon,1.2,58,55,20,35,20,45,75,Own Tempo,Technician,0,0,0,Smeargle,,,,,The fluid of Smeargle’s tail secretions changes in the intensity of its hue as the Pokémon’s emotions change.,
236,II,Tyrogue,fighting,,Scuffle Pokémon,0.7,21,35,35,35,35,35,35,Guts,Steadfast,0,0,0,Tyrogue,Hitmonchan,Hitmonlee,Hitmontop,,"It is always bursting with energy. To make itself stronger, it keeps on fighting even if it loses.",
237,II,Hitmontop,fighting,,Handstand Pokémon,1.4,48,50,95,95,35,110,70,Intimidate,Technician,0,0,0,Tyrogue,Hitmontop,,,,"It launches kicks while spinning. If it spins at high speed, it may bore its way into the ground.",
238,II,Smoochum,ice,psychic,Kiss Pokémon,0.4,6,45,30,15,85,65,65,Oblivious,Forewarn,0,0,0,Smoochum,Jynx,,,,"If its face gets even slightly dirty, Smoochum will bathe immediately. But if its body gets dirty, Smoochum doesn’t really seem to care.",
239,II,Elekid,electric,,Electric Pokémon,0.6,23.5,45,63,37,65,55,95,Static,,0,0,0,Elekid,Electabuzz,Electivire,,,"When a storm approaches, this Pokémon gets restless. Once Elekid hears the sound of thunder, it gets full-on rowdy.",
240,II,Magby,fire,,Live Coal Pokémon,0.7,21.4,45,75,37,70,55,83,Flame Body,,0,0,0,Magby,Magmar,Magmortar,,,"This Pokémon is still small and timid. Whenever Magby gets excited or surprised, flames leak from its mouth and its nose.",
241,II,Miltank,normal,,Milk Cow Pokémon,1.2,75.5,95,80,105,40,70,100,Thick Fat,Scrappy,0,0,0,Miltank,,,,,"Miltank produces highly nutritious milk, so it’s been supporting the lives of people and other Pokémon since ancient times.",
242,II,Blissey,normal,,Happiness Pokémon,1.5,46.8,255,10,10,75,135,55,Natural Cure,Serene Grace,0,0,0,Happiny,Chansey,Blissey,,,"Whenever a Blissey finds a weakened Pokémon, it will share its egg and offer its care until the other Pokémon is all better.",
243,II,Raikou,electric,,Thunder Pokémon,1.9,178,90,85,75,115,100,115,Pressure,,1,0,0,Raikou,,,,,Raikou embodies the speed of lightning. The roars of this Pokémon send shock waves shuddering through the air and shake the ground as if lightning bolts had come crashing down.,
244,II,Entei,fire,,Volcano Pokémon,2.1,198,115,115,85,90,75,100,Pressure,,1,0,0,Entei,,,,,Entei embodies the passion of magma. This Pokémon is thought to have been born in the eruption of a volcano. It sends up massive bursts of fire that utterly consume all that they touch.,
245,II,Suicune,water,,Aurora Pokémon,2,187,100,75,115,90,115,85,Pressure,,1,0,0,Suicune,,,,,Suicune embodies the compassion of a pure spring of water. It runs across the land with gracefulness. This Pokémon has the power to purify dirty water.,
246,II,Larvitar,rock,ground,Rock Skin Pokémon,0.6,72,50,64,50,45,50,41,Guts,,0,0,0,Larvitar,Pupitar,Tyranitar,,,"Born deep underground, it comes aboveground and becomes a pupa once it has finished eating the surrounding soil.",
247,II,Pupitar,rock,ground,Hard Shell Pokémon,1.2,152,70,84,70,65,70,51,Shed Skin,,0,0,0,Larvitar,Pupitar,Tyranitar,,,"Even sealed in its shell, it can move freely. Hard and fast, it has outstanding destructive power.",
248,II,Tyranitar,rock,dark,Armor Pokémon,2,202,100,134,110,95,100,61,Sand Stream,,0,0,0,Larvitar,Pupitar,Tyranitar,,Mega Tyranitar,"Its body can’t be harmed by any sort of attack, so it is very eager to make challenges against enemies.",
249,II,Lugia,psychic,flying,Diving Pokémon,5.2,216,106,90,130,90,154,110,Pressure,,0,1,0,Lugia,,,,,"Lugia’s wings pack devastating power—a light fluttering of its wings can blow apart regular houses. As a result, this Pokémon chooses to live out of sight deep under the sea.",
250,II,Ho-Oh,fire,flying,Rainbow Pokémon,3.8,199,106,130,90,110,154,90,Pressure,,0,1,0,Ho-Oh,,,,,Ho-Oh’s feathers glow in seven colors depending on the angle at which they are struck by light. These feathers are said to bring happiness to the bearers. This Pokémon is said to live at the foot of a rainbow.,
251,II,Celebi,psychic,grass,Time Travel Pokémon,0.6,5,100,100,100,100,100,100,Natural Cure,,0,0,1,Celebi,,,,,"This Pokémon came from the future by crossing over time. It is thought that so long as Celebi appears, a bright and shining future awaits us.",
252,III,Treecko,grass,,Wood Gecko Pokémon,0.5,5,40,45,35,65,55,70,Overgrow,,0,0,0,Treecko,Grovyle,Sceptile,,,Treecko has small hooks on the bottom of its feet that enable it to scale vertical walls. This Pokémon attacks by slamming foes with its thick tail.,
253,III,Grovyle,grass,,Wood Gecko Pokémon,0.9,21.6,50,65,45,85,65,95,Overgrow,,0,0,0,Treecko,Grovyle,Sceptile,,,The leaves growing out of Grovyle’s body are convenient for camouflaging it from enemies in the forest. This Pokémon is a master at climbing trees in jungles.,
254,III,Sceptile,grass,,Forest Pokémon,1.7,52.2,70,85,65,105,85,120,Overgrow,,0,0,0,Treecko,Grovyle,Sceptile,,Mega Sceptile,The leaves growing on Sceptile’s body are very sharp edged. This Pokémon is very agile—it leaps all over the branches of trees and jumps on its foe from above or behind.,
255,III,Torchic,fire,,Chick Pokémon,0.4,2.5,45,60,40,70,50,45,Blaze,,0,0,0,Torchic,Combusken,Blaziken,,,"Torchic sticks with its Trainer, following behind with unsteady steps. This Pokémon breathes fire of over 1,800 degrees Fahrenheit, including fireballs that leave the foe scorched black.",
256,III,Combusken,fire,fighting,Young Fowl Pokémon,0.9,19.5,60,85,60,85,60,55,Blaze,,0,0,0,Torchic,Combusken,Blaziken,,,"Combusken toughens up its legs and thighs by running through fields and mountains. This Pokémon’s legs possess both speed and power, enabling it to dole out 10 kicks in one second.",
257,III,Blaziken,fire,fighting,Blaze Pokémon,1.9,52,80,120,70,110,70,80,Blaze,,0,0,0,Torchic,Combusken,Blaziken,,Mega Blaziken,"In battle, Blaziken blows out intense flames from its wrists and attacks foes courageously. The stronger the foe, the more intensely this Pokémon’s wrists burn.",
258,III,Mudkip,water,,Mud Fish Pokémon,0.4,7.6,50,70,50,50,50,40,Torrent,,0,0,0,Mudkip,Marshtomp,Swampert,,,"The fin on Mudkip’s head acts as highly sensitive radar. Using this fin to sense movements of water and air, this Pokémon can determine what is taking place around it without using its eyes.",
259,III,Marshtomp,water,ground,Mud Fish Pokémon,0.7,28,70,85,70,60,70,50,Torrent,,0,0,0,Mudkip,Marshtomp,Swampert,,,"The surface of Marshtomp’s body is enveloped by a thin, sticky film that enables it to live on land. This Pokémon plays in mud on beaches when the ocean tide is low.",
260,III,Swampert,water,ground,Mud Fish Pokémon,1.5,81.9,100,110,90,85,90,60,Torrent,,0,0,0,Mudkip,Marshtomp,Swampert,,Mega Swampert,Swampert is very strong. It has enough power to easily drag a boulder weighing more than a ton. This Pokémon also has powerful vision that lets it see even in murky water.,
261,III,Poochyena,dark,,Bite Pokémon,0.5,13.6,35,55,35,30,30,35,Run Away,Quick Feet,0,0,0,Poochyena,Mightyena,,,,"At first sight, Poochyena takes a bite at anything that moves. This Pokémon chases after prey until the victim becomes exhausted. However, it may turn tail if the prey strikes back.",
262,III,Mightyena,dark,,Bite Pokémon,1,37,70,90,70,60,60,70,Intimidate,Quick Feet,0,0,0,Poochyena,Mightyena,,,,Mightyena gives obvious signals when it is preparing to attack. It starts to growl deeply and then flattens its body. This Pokémon will bite savagely with its sharply pointed fangs.,
263,III,Zigzagoon,normal,dark,Tiny Racoon Pokémon,0.4,17.5,38,30,41,30,41,60,Pickup,Gluttony,0,0,0,Zigzagoon,Linoone,,,,It marks its territory by rubbing its bristly fur on trees. This variety of Zigzagoon is friendlier and calmer than the kind native to Galar.,
264,III,Linoone,normal,dark,Rush Pokémon,0.5,32.5,78,70,61,50,61,100,Pickup,Gluttony,0,0,0,Zigzagoon,Linoone,,,,Its fur is strong and supple. Shaving brushes made with shed Linoone hairs are highly prized.,
265,III,Wurmple,bug,,Worm Pokémon,0.3,3.6,45,45,35,20,30,20,Shield Dust,,0,0,0,Wurmple,Silcoon,Beautifly,,,"Using the spikes on its rear end, Wurmple peels the bark off trees and feeds on the sap that oozes out. This Pokémon’s feet are tipped with suction pads that allow it to cling to glass without slipping.",
266,III,Silcoon,bug,,Cocoon Pokémon,0.6,10,50,35,55,25,25,15,Shed Skin,,0,0,0,Wurmple,Silcoon,Beautifly,,,"Silcoon tethers itself to a tree branch using silk to keep from falling. There, this Pokémon hangs quietly while it awaits evolution. It peers out of the silk cocoon through a small hole.",
267,III,Beautifly,bug,flying,Butterfly Pokémon,1,28.4,60,70,50,100,50,65,Swarm,,0,0,0,Wurmple,Silcoon,Beautifly,,,"Beautifly’s favorite food is the sweet pollen of flowers. If you want to see this Pokémon, just leave a potted flower by an open window. Beautifly is sure to come looking for pollen.",
268,III,Cascoon,bug,,Cocoon Pokémon,0.7,11.5,50,35,55,25,25,15,Shed Skin,,0,0,0,Wurmple,Silcoon,Beautifly,,,"Cascoon makes its protective cocoon by wrapping its body entirely with a fine silk from its mouth. Once the silk goes around its body, it hardens. This Pokémon prepares for its evolution inside the cocoon.",
269,III,Dustox,bug,poison,Poison Moth Pokémon,1.2,31.6,60,50,70,50,90,65,Shield Dust,,0,0,0,Wurmple,Silcoon,Beautifly,,,"Dustox is instinctively drawn to light. Swarms of this Pokémon are attracted by the bright lights of cities, where they wreak havoc by stripping the leaves off roadside trees for food.",
270,III,Lotad,water,grass,Water Weed Pokémon,0.5,2.6,40,30,30,40,50,30,Swift Swim,Rain Dish,0,0,0,Lotad,Lombre,Ludicolo,,,"It searches about for clean water. If it does not drink water for too long, the leaf on its head wilts.",
271,III,Lombre,water,grass,Jolly Pokémon,1.2,32.5,60,50,50,60,70,50,Swift Swim,Rain Dish,0,0,0,Lotad,Lombre,Ludicolo,,,It is nocturnal and becomes active at nightfall. It feeds on aquatic mosses that grow in the riverbed.,
272,III,Ludicolo,water,grass,Carefree Pokémon,1.5,55,80,70,70,90,100,70,Swift Swim,Rain Dish,0,0,0,Lotad,Lombre,Ludicolo,,,"The rhythm of bright, festive music activates Ludicolo’s cells, making it more powerful.",
273,III,Seedot,grass,,Acorn Pokémon,0.5,4,40,40,50,30,30,30,Chlorophyll,Early Bird,0,0,0,Seedot,Nuzleaf,Shiftry,,,"If it remains still, it looks just like a real nut. It delights in surprising foraging Pokémon.",
274,III,Nuzleaf,grass,dark,Wily Pokémon,1,28,70,70,40,60,40,60,Chlorophyll,Early Bird,0,0,0,Seedot,Nuzleaf,Shiftry,,,"It lives deep in forests. With the leaf on its head, it makes a flute whose song makes listeners uneasy.",
275,III,Shiftry,grass,dark,Wickid Pokémon,1.3,59.6,90,100,60,90,60,80,Chlorophyll,Early Bird,0,0,0,Seedot,Nuzleaf,Shiftry,,,A Pokémon that was feared as a forest guardian. It can read the foe’s mind and take preemptive action.,
276,III,Taillow,normal,flying,TinySwallow Pokémon,0.3,2.3,40,55,30,30,30,85,Guts,,0,0,0,Taillow,Swellow,,,,"Taillow courageously stands its ground against foes, however strong they may be. This gutsy Pokémon will remain defiant even after a loss. On the other hand, it cries loudly if it becomes hungry.",
277,III,Swellow,normal,flying,Swallow Pokémon,0.7,19.8,60,85,60,75,50,125,Guts,,0,0,0,Taillow,Swellow,,,,"Swellow flies high above our heads, making graceful arcs in the sky. This Pokémon dives at a steep angle as soon as it spots its prey. The hapless prey is tightly grasped by Swellow’s clawed feet, preventing escape.",
278,III,Wingull,water,flying,Seagull Pokémon,0.6,9.5,40,30,30,55,30,85,Keen Eye,Hydration,0,0,0,Wingull,Pelipper,,,,"It makes its nest on sheer cliffs. Riding the sea breeze, it glides up into the expansive skies.",
279,III,Pelipper,water,flying,Water Bird Pokémon,1.2,28,60,50,100,95,70,65,Keen Eye,Drizzle,0,0,0,Wingull,Pelipper,,,,"It is a messenger of the skies, carrying small Pokémon and eggs to safety in its bill.",
280,III,Ralts,psychic,fairy,Feeling Pokémon,0.4,6.6,28,25,25,45,35,40,Synchronize,Trace,0,0,0,Ralts,Kirlia,Gardevoir,Gallade,,It is highly attuned to the emotions of people and Pokémon. It hides if it senses hostility.,
281,III,Kirlia,psychic,fairy,Emotion Pokémon,0.8,20.2,38,35,35,65,55,50,Synchronize,Trace,0,0,0,Ralts,Kirlia,Gardevoir,Gallade,,"If its Trainer becomes happy, it overflows with energy, dancing joyously while spinning about.",
282,III,Gardevoir,psychic,fairy,Embrace Pokémon,1.6,48.4,68,65,65,125,115,80,Synchronize,Trace,0,0,0,Ralts,Kirlia,Gardevoir,,Mega Gardevoir,It has the power to predict the future. Its power peaks when it is protecting its Trainer.,
283,III,Surskit,bug,water,Pond Skater Pokémon,0.5,1.7,40,30,32,50,52,65,Swift Swim,,0,0,0,Surskit,Masquerain,,,,"If it’s in a pinch, it will secrete a sweet liquid from the tip of its head. Syrup made from gathering that liquid is tasty on bread.",
284,III,Masquerain,bug,flying,Eyeball Pokémon,0.8,3.6,70,60,62,100,82,80,Intimidate,,0,0,0,Surskit,Masquerain,,,,"Masquerain intimidates enemies with the eyelike patterns of its eyespots. If that doesn’t work, it deftly makes its escape on its set of four wings.",
285,III,Shroomish,grass,,Mushroom Pokémon,0.4,4.5,60,40,60,40,60,35,Effect Spore,Poison Heal,0,0,0,Shroomish,Breloom,,,,"Shroomish live in damp soil in the dark depths of forests. They are often found keeping still under fallen leaves. This Pokémon feeds on compost that is made up of fallen, rotted leaves.",
286,III,Breloom,grass,fighting,Mushroom Pokémon,1.2,39.2,60,130,80,60,60,70,Effect Spore,Poison Heal,0,0,0,Shroomish,Breloom,,,,"Breloom closes in on its foe with light and sprightly footwork, then throws punches with its stretchy arms. This Pokémon’s fighting technique puts boxers to shame.",
287,III,Slakoth,normal,,Slacker Pokémon,0.8,24,60,60,60,35,35,30,Truant,,0,0,0,Slakoth,Vigoroth,Slaking,,,"Slakoth lolls around for over 20 hours every day. Because it moves so little, it does not need much food. This Pokémon’s sole daily meal consists of just three leaves.",
288,III,Vigoroth,normal,,Wild Monkey Pokémon,1.4,46.5,80,80,80,55,55,90,Vital Spirit,,0,0,0,Slakoth,Vigoroth,Slaking,,,Vigoroth is always itching and agitated to go on a wild rampage. It simply can’t tolerate sitting still for even a minute. This Pokémon’s stress level rises if it can’t be moving constantly.,
289,III,Slaking,normal,,Lazy Pokémon,2,130.5,150,160,100,95,65,100,Truant,,0,0,0,Slakoth,Vigoroth,Slaking,,,"Slaking spends all day lying down and lolling about. It eats grass growing within its reach. If it eats all the grass it can reach, this Pokémon reluctantly moves to another spot.",
290,III,Nincada,bug,ground,Trainee Pokémon,0.5,5.5,31,45,90,30,30,40,Compoundeyes,,0,0,0,Nincada,Ninjask,Shedinja,,,"Because it lived almost entirely underground, it is nearly blind. It uses its antennae instead.",
291,III,Ninjask,bug,flying,Ninja Pokémon,0.8,12,61,90,45,50,50,160,Speed Boost,,0,0,0,Nincada,Ninjask,Shedinja,,,Its cry leaves a lasting headache if heard for too long. It moves so quickly that it is almost invisible.,
292,III,Shedinja,bug,ghost,Shed Pokémon,0.8,1.2,1,90,45,30,30,40,Wonder Guard,,0,0,0,Nincada,Ninjask,Shedinja,,,A most peculiar Pokémon that somehow appears in a Poké Ball when a Nincada evolves.,
293,III,Whismur,normal,,Whisper Pokémon,0.6,16.3,64,51,23,51,23,28,Soundproof,,0,0,0,Whismur,Loudred,Exploud,,,"The cry of a Whismur is over 100 decibels. If you’re close to a Whismur when it lets out a cry, you’ll be stuck with an all-day headache.",
294,III,Loudred,normal,,Big Voice Pokémon,1,40.5,84,71,43,71,43,48,Soundproof,,0,0,0,Whismur,Loudred,Exploud,,,"Loudred’s ears serve as speakers, and they can put out sound waves powerful enough to blow away a house.",
295,III,Exploud,normal,,Loud Noise Pokémon,1.5,84,104,91,63,91,73,68,Soundproof,,0,0,0,Whismur,Loudred,Exploud,,,"In the past, people would use the loud voices of these Pokémon as a means of communication between distant cities.",
296,III,Makuhita,fighting,,Guts Pokémon,1,86.4,72,60,30,20,30,25,Thick Fat,Guts,0,0,0,Makuhita,Hariyama,,,,It practices its slaps by repeatedly slapping tree trunks. It has been known to slap an Exeggutor and get flung away.,
297,III,Hariyama,fighting,,Arm Thrust Pokémon,2.3,253.8,144,120,60,40,60,50,Thick Fat,Guts,0,0,0,Makuhita,Hariyama,,,,"Although they enjoy comparing their strength, they’re also kind. They value etiquette, praising opponents they battle.",
298,III,Azurill,normal,fairy,Polka Dot Pokémon,0.2,2,50,20,40,20,40,20,Thick Fat,Huge Power,0,0,0,Azurill,Marill,Azumarill,,,"The ball on Azurill’s tail bounces like a rubber ball, and it’s full of the nutrients the Pokémon needs to grow.",
299,III,Nosepass,rock,,Compass Pokémon,1,97,30,45,135,45,90,30,Sturdy,Magnet Pull,0,0,0,Nosepass,Probopass,,,,"It moves less than an inch a year, but when it’s in a jam, it will spin and drill down into the ground in a split second.",
300,III,Skitty,normal,,Kitten Pokémon,0.6,11,50,45,45,35,35,50,Cute Charm,Normalize,0,0,0,Skitty,Delcatty,,,,Skitty has the habit of becoming fascinated by moving objects and chasing them around. This Pokémon is known to chase after its own tail and become dizzy.,
301,III,Delcatty,normal,,Prim Pokémon,1.1,32.6,70,65,65,55,55,90,Cute Charm,Normalize,0,0,0,Skitty,Delcatty,,,,"Delcatty prefers to live an unfettered existence in which it can do as it pleases at its own pace. Because this Pokémon eats and sleeps whenever it decides, its daily routines are completely random.",
302,III,Sableye,dark,ghost,Darkness Pokémon,0.5,11,50,75,75,65,65,50,Keen Eye,Stall,0,0,0,Sableye,,,,Mega Sableye,"This Pokémon is feared. When its gemstone eyes begin to glow with a sinister shine, it’s believed that Sableye will steal people’s spirits away.",
303,III,Mawile,steel,fairy,Deceiver Pokémon,0.6,11.5,50,85,85,55,55,50,Hyper Cutter,Intimidate,0,0,0,Mawile,,,,Mega Mawile,"It uses its docile-looking face to lull foes into complacency, then bites with its huge, relentless jaws.",
304,III,Aron,steel,rock,Iron Armor Pokémon,0.4,60,50,70,100,40,40,30,Sturdy,Rock Head,0,0,0,Aron,Lairon,Aggron,,,It eats iron ore—and sometimes railroad tracks— to build up the steel armor that protects its body.,
305,III,Lairon,steel,rock,Iron Armor Pokémon,0.9,120,60,90,140,50,50,40,Sturdy,Rock Head,0,0,0,Aron,Lairon,Aggron,,,"Lairon live in mountains brimming with spring water and iron ore, so these Pokémon often came into conflict with humans in the past.",
306,III,Aggron,steel,rock,Iron Armor Pokémon,2.1,360,70,110,180,60,60,50,Sturdy,Rock Head,0,0,0,Aron,Lairon,Aggron,,Mega Aggron,Aggron has a horn sharp enough to perforate thick iron sheets. It brings down its opponents by ramming into them horn first.,
307,III,Meditite,fighting,psychic,Meditate Pokémon,0.6,11.2,30,40,55,40,55,60,Pure Power,,0,0,0,Meditite,Medicham,,,,"Meditite undertakes rigorous mental training deep in the mountains. However, whenever it meditates, this Pokémon always loses its concentration and focus. As a result, its training never ends.",
308,III,Medicham,fighting,psychic,Meditate Pokémon,1.3,31.5,60,60,75,60,75,80,Pure Power,,0,0,0,Meditite,Medicham,,,Mega Medicham,"It is said that through meditation, Medicham heightens energy inside its body and sharpens its sixth sense. This Pokémon hides its presence by merging itself with fields and mountains.",
309,III,Electrike,electric,,Lightning Pokémon,0.6,15.2,40,45,40,65,40,65,Static,Lightning Rod,0,0,0,Electrike,Manectric,,,,It stores static electricity in its fur for discharging. It gives off sparks if a storm approaches.,
310,III,Manectric,electric,,Discharge Pokémon,1.5,40.2,70,75,60,105,60,105,Static,Lightning Rod,0,0,0,Electrike,Manectric,,,Mega Manectric,"It stimulates its own muscles with electricity, so it can move quickly. It eases its soreness with electricity, too, so it can recover quickly as well.",
311,III,Plusle,electric,,Cheering Pokémon,0.4,4.2,60,50,40,85,75,95,Plus,,0,0,0,Plusle,,,,,"Plusle always acts as a cheerleader for its partners. Whenever a teammate puts out a good effort in battle, this Pokémon shorts out its body to create the crackling noises of sparks to show its joy.",
312,III,Minun,electric,,Cheering Pokémon,0.4,4.2,60,40,50,75,85,95,Minus,,0,0,0,Minun,,,,,Minun is more concerned about cheering on its partners than its own safety. It shorts out the electricity in its body to create brilliant showers of sparks to cheer on its teammates.,
313,III,Volbeat,bug,,Firefly Pokémon,0.7,17.7,65,73,75,47,85,85,Illuminate,Swarm,0,0,0,Egg,Volbeat,,,,"With the arrival of night, Volbeat emits light from its tail. It communicates with others by adjusting the intensity and flashing of its light. This Pokémon is attracted by the sweet aroma of Illumise.",
314,III,Illumise,bug,,Firefly Pokémon,0.6,17.7,65,47,75,73,85,85,Oblivious,Tinted Lens,0,0,0,Egg,Illumise,,,,"Illumise attracts a swarm of Volbeat using a sweet fragrance. Once the Volbeat have gathered, this Pokémon leads the lit-up swarm in drawing geometric designs on the canvas of the night sky.",
315,III,Roselia,grass,poison,Thorn Pokémon,0.3,2,50,60,45,100,80,65,Natural Cure,Poison Point,0,0,0,Budew,Roselia,Roserade,,,"Its flowers give off a relaxing fragrance. The stronger its aroma, the healthier the Roselia is.",
316,III,Gulpin,poison,,Stomach Pokémon,0.4,10.3,70,43,53,43,53,40,Liquid Ooze,Sticky Hold,0,0,0,Gulpin,Swalot,,,,"Virtually all of Gulpin’s body is its stomach. As a result, it can swallow something its own size. This Pokémon’s stomach contains a special fluid that digests anything.",
317,III,Swalot,poison,,Poison Bag Pokémon,1.7,80,100,73,83,73,83,55,Liquid Ooze,Sticky Hold,0,0,0,Gulpin,Swalot,,,,"When Swalot spots prey, it spurts out a hideously toxic fluid from its pores and sprays the target. Once the prey has weakened, this Pokémon gulps it down whole with its cavernous mouth.",
318,III,Carvanha,water,dark,Savage Pokémon,0.8,20.8,45,90,20,65,20,65,Rough Skin,,0,0,0,Carvanha,Sharpedo,,,,"It won’t attack while it’s alone—not even if it spots prey. Instead, it waits for other Carvanha to join it, and then the Pokémon attack as a group.",
319,III,Sharpedo,water,dark,Brutal Pokémon,1.8,88.8,70,120,40,95,40,95,Rough Skin,,0,0,0,Carvanha,Sharpedo,,,Mega Sharpedo,"As soon as it catches the scent of prey, Sharpedo will jet seawater from its backside, hurtling toward the target to attack at 75 mph.",
320,III,Wailmer,water,,Ball Whale Pokémon,2,130,130,70,35,70,35,60,Water Veil,Oblivious,0,0,0,Wailmer,Wailord,,,,It shows off by spraying jets of seawater from the nostrils above its eyes. It eats a solid ton of Wishiwashi every day.,
321,III,Wailord,water,,Float Whale Pokémon,14.5,398,170,90,45,90,45,60,Water Veil,Oblivious,0,0,0,Wailmer,Wailord,,,,It can sometimes knock out opponents with the shock created by breaching and crashing its big body onto the water.,
322,III,Numel,fire,ground,Numb Pokémon,0.7,24,60,60,40,65,45,35,Oblivious,Simple,0,0,0,Numel,Camerupt,,,,"Numel is extremely dull witted—it doesn’t notice being hit. However, it can’t stand hunger for even a second. This Pokémon’s body is a seething cauldron of boiling magma.",
323,III,Camerupt,fire,ground,Eruption Pokémon,1.9,220,70,100,70,105,75,40,Magma Armor,Solid Rock,0,0,0,Numel,Camerupt,,,Mega Camerupt,"Camerupt has a volcano inside its body. Magma of 18,000 degrees Fahrenheit courses through its body. Occasionally, the humps on this Pokémon’s back erupt, spewing the superheated magma.",
324,III,Torkoal,fire,,Coal Pokémon,0.5,80.4,70,85,140,85,70,20,White Smoke,Drought,0,0,0,Torkoal,,,,,It burns coal inside its shell for energy. It blows out black soot if it is endangered.,
325,III,Spoink,psychic,,Bounce Pokémon,0.7,30.6,60,25,35,70,80,60,Thick Fat,Own Tempo,0,0,0,Spoink,Grumpig,,,,"Spoink bounces around on its tail. The shock of its bouncing makes its heart pump. As a result, this Pokémon cannot afford to stop bouncing—if it stops, its heart will stop.",
326,III,Grumpig,psychic,,Manipulate Pokémon,0.9,71.5,80,45,65,90,110,80,Thick Fat,Own Tempo,0,0,0,Spoink,Grumpig,,,,"Grumpig uses the black pearls on its body to amplify its psychic power waves for gaining total control over its foe. When this Pokémon uses its special power, its snorting breath grows labored.",
327,III,Spinda,normal,,Spot Panda Pokémon,1.1,5,60,60,60,60,60,60,Own Tempo,Tangled Feet,0,0,0,Spinda,,,,,Its steps are shaky and stumbling. Walking for a long time makes it feel sick.,
328,III,Trapinch,ground,,Ant Pit Pokémon,0.7,15,45,100,45,45,45,10,Hyper Cutter,Arena Trap,0,0,0,Trapinch,Vibrava,Flygon,,,"Its nest is a sloped, bowl-like pit in the desert. Once something has fallen in, there is no escape.",
329,III,Vibrava,ground,dragon,Vibration Pokémon,1.1,15.3,50,70,50,50,50,70,Levitate,,0,0,0,Trapinch,Vibrava,Flygon,,,The ultrasonic waves it generates by rubbing its two wings together cause severe headaches.,
330,III,Flygon,ground,dragon,Mystic Pokémon,2,82,80,100,80,80,80,100,Levitate,,0,0,0,Trapinch,Vibrava,Flygon,,,This Pokémon hides in the heart of sandstorms it creates and seldom appears where people can see it.,
331,III,Cacnea,grass,,Cactus Pokémon,0.4,51.3,50,85,40,85,40,35,Sand Veil,,0,0,0,Cacnea,Cacturne,,,,"Cacnea lives in arid locations such as deserts. It releases a strong aroma from its flower to attract prey. When prey comes near, this Pokémon shoots sharp thorns from its body to bring the victim down.",
332,III,Cacturne,grass,dark,Scarecrow Pokémon,1.3,77.4,70,115,60,115,60,55,Sand Veil,,0,0,0,Cacnea,Cacturne,,,,"During the daytime, Cacturne remains unmoving so that it does not lose any moisture to the harsh desert sun. This Pokémon becomes active at night when the temperature drops.",
